Day_x,Artist(s)_x,Album_x,Record label(s)_x,Entering chart position_x,Month,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Entering chart position_y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Artist(s),Album,Record label(s),Ref.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Tyga,NSFW,Last Kings[62],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Bartees Strange,Horror,4AD[66],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
